actor_name;actor_definition
Access and Benefit-Sharing Committee;The treaty body under the BBNJ Agreement mandated to oversee compliance with access and benefit‑sharing provisions and make recommendations to the COP.
Affected Parties;Groups whose cultural, economic, or environmental interests are directly impacted by the collection or use of MGRs or associated traditional knowledge.
COP;Conference of the Parties: The supreme decision‑making body of a treaty regime composed of all states that are parties to the agreement.
Capacity-Building and Technology Transfer Committee;A BBNJ body tasked with facilitating capacity development and equitable transfer of marine technology among parties.
Clearing‑House;The information‑sharing mechanism established to receive, store, and disseminate data on MGR activities, benefit‑sharing, and compliance.
Coastal States;States with sovereignty or sovereign rights over maritime zones adjacent to their coasts under UNCLOS.
Competent National Authority;The national‑level administrative entity designated to authorise, monitor, and enforce access to MGRs and benefit‑sharing obligations.
Concerned Parties;Treaty parties with a demonstrated interest or stake in a particular matter, whether or not they are directly involved in the activity.
Contracting Party;A state or regional organisation that has ratified, accepted, or acceded to a treaty and is bound by its terms.
Developed States;High‑income states with advanced technological capacity and infrastructure relevant to MGR exploitation.
Developing States;States with lower economic and technological capacity, often prioritising equitable benefit‑sharing from MGR use.
Disputing Parties;States or other recognised treaty participants engaged in a formal dispute over treaty interpretation or application.
Global Biodiversity;The total diversity of species, genes, and ecosystems worldwide, including those in areas beyond national jurisdiction.
Global Food and Agriculture Stakeholders;International actors engaged in agricultural and food‑security sectors with an interest in genetic resources.
Global regulatory bodies;International organisations with authority to regulate or coordinate governance relevant to MGRs.
Global users of regulatory information;Actors worldwide that rely on treaty‑mandated data and decisions to inform their activities.
Government;The political and administrative authority of a state, responsible for implementing treaty obligations.
IPLCs;Indigenous Peoples and Local Communities:  Distinct peoples and communities with customary rights, knowledge systems, and cultural practices linked to marine biodiversity.
Implementation and Compliance Committee;The treaty body responsible for monitoring, facilitating, and promoting state compliance with treaty obligations.
Institutional Bodies;Organisational entities established by a treaty to carry out its governance functions.
Least Developed Countries;States identified by the UN as having the lowest indicators of socioeconomic development and capacity.
Military Actors;State armed forces or defence agencies conducting activities with implications for MGR governance.
National Focal Point;The designated contact within a state for communication and coordination under a treaty framework.
National authorities;Governmental entities responsible for domestic implementation and enforcement of treaty provisions.
National or Civil Society Stakeholders;Domestic governmental and non‑governmental actors with an interest in MGR governance.
Non‑Parties;States or entities that have not ratified a treaty and are not legally bound by its provisions.
Other Contracting Parties;A state or regional organisation that has ratified, accepted, or acceded to the same treaty and is bound by its terms, acting as the affected party in relation to the contracting party in a given provision (actor-affected).
Patent holders;Persons or entities holding legal rights to inventions involving MGRs or their derivatives.
Potential applicants;Actors intending to seek authorisation for access to MGRs.
Private Sector;For‑profit corporations and commercial entities engaged in MGR‑related research, development, or utilisation.
Proponent or Requesting Party;The actor formally seeking access to MGRs or authorisation for a related activity.
Receiving Party;The state or entity obtaining MGRs, associated DSI, or benefits under an access agreement.
Regulatory authorities;Domestic or international bodies with legal competence to oversee and enforce rules on MGR activities.
Relevant Bodies;Treaties, agreements, and institutional mechanisms applicable to MGR governance.
Requesting Party;The actor submitting a formal request for access to MGRs or related permissions.
Researchers;Individuals or organisations conducting scientific investigations involving MGRs.
Resource Users;Actors directly utilising MGRs for research, development, or commercial purposes.
Resource‑Providing Party;Any actor furnishing MGRs to others under applicable legal regimes.
Scientific and Technical Body;The advisory body under the BBNJ Agreement mandated to provide expert input on scientific and technical matters.
Secretariat;The administrative organ servicing a treaty and its institutional bodies.
Small Island and Vulnerable Countries;States particularly susceptible to environmental and economic shocks affecting marine biodiversity.
Stakeholders;Any actors with a direct or indirect interest in MGR governance outcomes.
Subsidiary bodies;The collective set of all such specialised bodies under a treaty framework.
