Unique_ID,Treaty,provision,actorholder,action,actoraffected,natural_language_sentence
BBNJ_M001,BBNJ,"BBNJ, Article 4",Contracting Party,"Disability: Agreement does not apply to warships, military aircraft or naval auxiliaries.",Military Actors,"Under Article 4 of the BBNJ, a Contracting Party has a disability towards Military Actors, such that the Agreement does not apply to any warship, military aircraft or naval auxiliary."
BBNJ_M002,BBNJ,"BBNJ, Article 4",Contracting Party,"Duty: Shall ensure, so far as is reasonable and practicable, that such vessels/aircraft act consistently with the Agreement.",Military Actors,"Under Article 4 of the BBNJ, Contracting Party has a duty towards Military Actors, to ensure, so far as is reasonable and practicable, that such vessels or aircraft act in a manner consistent with the Agreement."
BBNJ_M003,BBNJ,"BBNJ, Article 5(1)",Contracting Party,Duty: Shall interpret and apply the Agreement in a manner consistent with the Convention.,Other Contracting Parties,"Under Article 5(1) of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to interpret and apply the Agreement in a manner consistent with the Convention."
BBNJ_M004,BBNJ,"BBNJ, Article 5(1)",Contracting Party,"Immunity: Rights, jurisdiction and duties under the Convention are not prejudiced by this Agreement.",Other Contracting Parties,"Under Article 5(1) of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to ensure that rights, jurisdiction and duties under the Convention are not prejudiced by this Agreement."
BBNJ_M005,BBNJ,"BBNJ, Article 5(2)",Contracting Party,"Duty: Shall interpret and apply so as not to undermine and to promote coherence and coordination with relevant instruments, frameworks and bodies.",Relevant Bodies,"Under Article 5(2) of the BBNJ, Contracting Party has a duty towards Relevant Bodies, to interpret and apply the Agreement so as not to undermine, and to promote coherence and coordination with, relevant instruments, frameworks and bodies."
BBNJ_M006,BBNJ,"BBNJ, Article 5(3)",Non-Parties,Immunity: Legal status with regard to the Convention or related agreements is not affected by this Agreement.,Contracting Party,"Under Article 5(3) of the BBNJ, Non-Parties have a duty towards Contracting Party, to ensure that the legal status of non-Parties to the Convention or any related agreements is not affected by this Agreement."
BBNJ_M007,BBNJ,"BBNJ, Article 6",Contracting Party,"Disability: Shall not rely on this Agreement to assert or deny sovereignty, sovereign rights or jurisdiction.",Other Contracting Parties,"Under Article 6 of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, not to rely on this Agreement as a basis for asserting or denying sovereignty, sovereign rights or jurisdiction."
BBNJ_M008,BBNJ,"BBNJ, Article 7",Contracting Party,"Duty: Shall be guided by listed principles and approaches (e.g., polluter-pays, equity, precaution, best available science).",Other Contracting Parties,"Under Article 7 of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to be guided by the listed principles and approaches (including polluter-pays, equity, precaution and best available science)."
BBNJ_M009,BBNJ,"BBNJ, Article 8(1)",Contracting Party,"Duty: Must cooperate for conservation and sustainable use in ABNJ, including by strengthening and enhancing cooperation with and among relevant instruments, frameworks and bodies.",Concerned Parties,"Under Article 8(1) of the BBNJ, Contracting Party has a duty towards Concerned Parties, to cooperate under this Agreement for conservation and sustainable use in ABNJ, including by strengthening and enhancing cooperation with, and promoting cooperation among, relevant instruments, frameworks and bodies."
BBNJ_M010,BBNJ,"BBNJ, Article 8(2)",Contracting Party,Duty: Shall endeavour to promote the Agreement’s objectives in other relevant decision-making processes.,Relevant Bodies,"Under Article 8(2) of the BBNJ, Contracting Party has a duty towards Relevant Bodies, to endeavour to promote, as appropriate, the objectives of the Agreement when participating in decision-making under other relevant instruments, frameworks or bodies."
BBNJ_M011,BBNJ,"BBNJ, Article 8(3)",Contracting Party,Duty: Must promote international cooperation in marine scientific research and in the development and transfer of marine technology.,Concerned Parties,"Under Article 8(3) of the BBNJ, Contracting Party has a duty towards Concerned Parties, to promote international cooperation in marine scientific research and in the development and transfer of marine technology, consistent with the Convention."
BBNJ_M012,BBNJ,"BBNJ, Article 10(1)",Contracting Party,"Power: May make a written exception under Article 70 at signature/ratification/approval/acceptance/accession, excluding pre-entry utilization from application.",Concerned Parties,"Under Article 10(1) of the BBNJ, Contracting Party has a duty towards Concerned Parties, to apply the Agreement to the utilization of MGR and DSI collected or generated before entry into force, unless the Party makes a written exception under Article 70 when signing, ratifying, approving, accepting or acceding."
BBNJ_M013,BBNJ,"BBNJ, Article 10(3)",Contracting Party,Immunity: Obligations in this Part do not apply to a Party’s military activities; obligations do apply to non-military activities.,Concerned Parties,"Under Article 10(3) of the BBNJ, Contracting Party has a duty towards Concerned Parties, to acknowledge that the obligations in this Part do not apply to a Party’s military activities, and that the obligations in this Part with respect to utilization of MGR and DSI in ABNJ apply to a Party’s non-military activities."
BBNJ_M014,BBNJ,"BBNJ, Article 11(1)",Contracting Party,Liberty: May carry out MGR/DSI activities in ABNJ (subject to the Agreement).,Affected Parties,"Under Article 11(1) of the BBNJ, Contracting Party has a duty towards Affected Parties, to carry out MGR/DSI activities in ABNJ, subject to the Agreement."
BBNJ_M015,BBNJ,"BBNJ, Article 11(1)",Contracting Party,Duty: Must carry out such MGR/DSI activities in accordance with the Agreement.,Concerned Parties,"Under Article 11(1) of the BBNJ, Contracting Party has a duty towards Concerned Parties, to carry out such MGR/DSI activities in accordance with the Agreement."
BBNJ_M016,BBNJ,"BBNJ, Article 11(2)",Contracting Party,Duty: Must promote cooperation in all MGR/DSI activities.,Concerned Parties,"Under Article 11(2) of the BBNJ, Contracting Party has a duty towards Concerned Parties, to promote cooperation in all MGR/DSI activities."
BBNJ_M017,BBNJ,"BBNJ, Article 11(3)",Contracting Party,"Duty: Must carry out collection in situ with due regard for the rights and legitimate interests of coastal States, and with due regard for the interests of other States.",Coastal States,"Under Article 11(3) of the BBNJ, Contracting Party has a duty towards Coastal States, to carry out collection in situ with due regard for the rights and legitimate interests of coastal States, and with due regard for the interests of other States, in accordance with the Convention."
